neonate.mass,1.902,0.441,NULL,0.014,,,,,
third.instar.mass,12.86,0.295,NULL,NULL,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
