length,NULL,0.023025,0.008289,0.002356,0.003056,0.003137,-0.000098,0.000856,-0.001341
width.segment1,NULL,0.001241818,0.002356,0.000683,0.000878,0.000898,-0.000032,0.000326,-0.0004
width.segment4,NULL,0.002012281,0.003056,0.000878,0.001147,0.001173,-0.000041,-0.00041,-0.00051
width.segment7,NULL,0.002273214,0.003137,0.000898,0.001173,0.001273,-0.000031,0.000331,-0.00045
hue,NULL,0.000189024,-0.000098,-0.000032,-0.000041,-0.000031,0.0000775,-0.000344,0.000372
saturation,NULL,0.009823913,0.000856,0.000326,-0.00041,0.000331,-0.000344,0.004519,-0.002996
brightness,NULL,0.008173585,-0.001341,-0.0004,-0.00051,-0.00045,0.000372,-0.002996,0.004332
