fruit.production,35.32,0.02,42.02,0.23,0.68,-0.76,0,0.52,-0.42
num.branches,1.26,0.11,0.760225677,0.26,0.41,0.23,1.2,1.31,0.49
shoot.biomass,0.06,0.03,5.847810229,0.277349166,1.76,-0.28,0.67,0.44,-0.07
flowering.time,7.74,0.74,-28.27505209,0.673094912,-2.131945815,32.94,0.58,0.09,0.16
rosette.area,1.58,0.07,0,0.193494186,0.281080771,1.052664049,0.1,1.11,0.06
fruit.length,10.79,0.47,5.925303597,1.174186842,1.026096604,0.907995187,0.61702423,3.09,-0.31
fitness,401.47,0,-1.054442602,0.096767247,-0.035966651,0.355653764,0.007348469,-0.211050586,0.15
