hatch.mass,NULL,0.14,NULL,0.19,0.16,0.03,-0.22,0.11,0.22,0.13
72h.mass,NULL,0.47,NULL,NULL,0.52,0.44,-0.42,0.08,-0.03,-0.35
dispersal.mass,NULL,-0.14,NULL,NULL,NULL,0.84,-0.53,0.01,0.39,-0.08
emergence.mass,NULL,0.04,NULL,NULL,NULL,NULL,-0.36,0.15,0.25,0.01
time.to.dispersal,NULL,1.6,NULL,NULL,NULL,NULL,NULL,0.05,-0.18,0.3
wandering.stage,NULL,0.31,NULL,NULL,NULL,NULL,NULL,NULL,-0.28,0.51
pupal.chamber.time,NULL,0.38,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.43
time.to.emergence,NULL,0.77,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
