CV1,NULL,0.293,38.442,0.844,0.421,-0.618,
CV2,NULL,0.379,20.36,15.148,0.068,-0.497,
CV3,NULL,0,6.774,0.683,6.72,-0.483,
CV4,NULL,0.966,-11.597,-5.86,-3.786,9.161,
,,,,,,,
