petal.length,10.69,0.63,0.919,0.474716882,0.410826938,0.430026216,0.393206749,0.346892142
petal.width,8.78,1.17,0.405,0.792,0.300741282,0.266142658,0.203475459,0.210325569
corrola.tube,11.58,0.67,0.284,0.193,0.52,0.758771809,0.819967914,0.379987755,
short.filament,9.58,0.51,0.275,0.158,0.365,0.445,0.904843284,0.326874745
long.filament,11.71,0.57,0.306,0.147,0.48,0.49,0.659,0.365274952
pistil,14.79,0.9,0.517,0.291,0.426,0.339,0.461,2.417
