development.time,NULL,2.787773,0.6384,-0.0033,0.0484,0.2277
mass,NULL,0.002935,-0.0033,0.0013,0.0046,0.0124
body.length,NULL,0.224296,0.0484,0.0046,0.0637,0.1792
tail.length,NULL,3.831799,0.2277,0.0124,0.1792,0.9158
