total.reproduction,NULL,0.28,0.25,-0.24,0.44,,,,
life.span,NULL,0.01,-0.04,0.02,0.4,,,,
reproductive.period,NULL,0.1,0.08,-0.03,0.08,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
