clutch.size,8.6,0.26,0.68,-0.41,-0.015,,,,
laying.date,22.8,0.09,-0.21,5.43,0.036,,,,
egg.weight,1.67,0.51,-0.21,0.17,0.0082,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
