adult.body.mass,NULL,0.493,0.167,0.41,,,,,
adult.lifespan,NULL,0.265,0.273777481,2.67,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
