femur.length,NULL,0.337931034,0.98,0.701811193,0.791256568,0.708029077,0.744387368
head.width,NULL,0.31,0.67,0.93,0.705882582,0.838630327,0.716377331
prothorax.length,NULL,0.350609756,0.84,0.73,1.15,0.673715683,0.681032862
prothorax.width,NULL,0.290540541,0.65,0.75,0.67,0.86,0.553400296
ovipositor.length,NULL,0.382450331,1.12,1.05,1.11,0.78,2.31
