devtime,17.9,0.754,3.954887916,-0.947,-0.338,-0.736
size,2.87,0.615,-0.251064139,0.017771956,0.509,0.777
orange,49.8,0.063,-13.198966,1.332421148,385.5779941,1
red,50.5,0.017,-29.84713136,2.112254902,400.4182033,415.8295856
