dry.body.weight,1.75,0.377,0.0111,0.334,,,,,
development.time,"22,9",0.107,0.013,0.136,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
