petal.length,7.71,0.12,0.198,0.538027587,0.185567405,-0.283093766,-0.323867194,0.54228488,
petal.width,6.89,0.33,0.165,0.475,0.327476456,0.259732478,-0.003733918,0.376619957,
corrola.tube,9.2,0.05,0.03,0.082,0.132,0.812049204,0.602065146,0.725019966,
short.filament,6.69,0,-0.038,0.054,0.089,0.091,0.878674565,0.544956433,
long.filament,8.86,0,-0.056,-0.001,0.085,0.103,0.151,0.613549458,
pistil,11.29,0.35,0.251,0.27,0.274,0.171,0.248,1.082,
,,,,,,,,,
